reviewerName,reviewText,overall,verified,reviewTime
Clayton Henry,"Are they kidding?  Now I've seen everything.  I am currently using an HDMI cable that my brother-in-law gave me.  He said they often toss them out at work because they're not worth the trouble to store them.  That's how cheap HDMI cables are...ALL OF THEM!  I defy anyone to show the difference in picture quality between a $1 and a $300 cable.  I once paid $20 for an HDMI cable a few years ago and now I feel stupid for doing so.  Anyone spending hundreds on these things needs to have their heads examined.  Don't do it, folks.",1,False,"11 6, 2009"
Vince G.,"Pros:
- Supergreat price
- The green LED is superb, v v ince
- Keys are essentially silent, would recommend for ninjas
- All keys function, including media/F keys
- There's a dragon on it that lights up how cool is that?? Answer: SUPREMELY
- Cord is braided, allowing for neat look and texture, as well as friction-free movement across wood, corners of desk, etc. [now if only my Anker ergonomic mouse was the same way]
- THERE'S A GOT-DANG CALCULATOR BUTTON, WHO THOUGHT OF THAT?? TAKE THAT, STATS HOMEWORK!

Meh:
- Enter key takes a bit to get used to
- Typing in general is a bit odd because rubber keys, but ya get used to it
- Spacebar doesn't always feel like it's being keyed
- 'Off' is one of the brightness levels, though the highest level is perfect imo
- Caps/Num/Win Lock lights are red and can't be modified in any way - in a way that's kindof a plus though, since you can see what's locked and what isn't without having to actual look at that sector of the keyboard. So I guess this line is superfluous

Cons:
- Spacebar and Backspace keys aren't fully lit [see pics]
- Would return for a hassle-free replacement, but then I'd be without a keyboard for several days :|",3,True,"10 28, 2016"
K. Koene,This works great!  I needed a stronger signal in my workshop out back and this does the job!!  Only gripe is that it doesn't have an outlet on the outside for the ones it blocks,5,True,"10 18, 2017"
Johnny,"some of these are cool, but they all feel pretty cheap",3,True,"05 3, 2016"
Tracey M.,"I have these speakers almost a year now. The quality of sound is awesome. Buy these and you will not regret it.

Perry from Atlanta",4,True,"07 20, 2014"
Andrew F.,"A lot less expensive than an OEM charger, an works almost just as well. It has a compact design and comes with a nice carrying pouch. My only complaint is that is the laptop is both in use and charging, the charger gets very hot, but only when doing both.",5,True,"12 26, 2014"
Benjamin Fugate,"I have two wireless Reolink IP cameras out in my disconnected garage. One looks at the driveway between the garage and the house, and gets a decent signal but the other is inside the garage and is constantly dropping out.

This powerline adapter was an awesome way for me to wire these cameras up to the rest of my system without having to bury new conduit or trying to put a repeater out there.

The cameras have been flawless ever since I installed this.

Only issue (not the adapters fault):
The signal strength indicator light on the powerline adapter does indicate the signal strength isn't great, however. The wiring out to the garage is all new romex and is on its own circuit with NO outlet in the basement, and the wiring in the basement is old rubber/cloth wiring for the most part on a different breaker. Despite this though the cameras work great (probably because they only use like 30mb/s) and I am in love with it.

Cant wait to get another to make my last camera a part of the Ethernet system!!",5,True,"09 30, 2017"
David Christian,Just as advertised,5,True,"09 28, 2015"
Joanne,"I love this case. The case fits like a glove on my iPad mini and the silicone texture makes it very easy to hold. Oh, I got it in purple and the color is so vibrant. I would definitely recommend it :)",5,True,"08 24, 2013"
M,"I am using these for monitoring sound while shooting video, they work great and are much easier to deal with than my large headphones.  The isolate sound well, so be careful not to walk out in traffic!  Plenty of different tips to fit a variety of ears.",5,True,"08 28, 2013"
