id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,tweetTextCleaned,translated_text,sentiment_blob,contains_review
1758180685104496658,"Customize Settings and privacy for enhanced security!

#AppleVisionPro #Apple

https://t.co/5dJET86QyS",https://twitter.com/RashmiMishra360/status/1758180685104496658,tweet,Rashmi Mishra,@RashmiMishra360,0,0,0,1,20,0,2024-02-15 09:25:15,customize settings and privacy for enhanced security ,customize settings and privacy for enhanced security ,0.0,1.0
1757016456758280388,"🔴L'équipe travaillant sur #AppleVisionPro estime qu'il faudrait 4 générations pour atteindre sa ""forme idéale"", selon @markgurman 🚀

Des problèmes tels que le poids, l'autonomie et des bugs dans visionOS ont été soulevés par les utilisateurs actuels. 

Mark Gurman indique que résoudre ces problèmes pourrait positionner le Vision Pro comme un remplaçant potentiel de l'iPad, mais cela nécessitera des mises à niveau matérielles, des mises à jour logicielles et un meilleur soutien des développeurs.",https://twitter.com/Apple_Geek_Actu/status/1757016456758280388,tweet,AppleGeek,@Apple_Geek_Actu,3,1,16,135,16982,6,2024-02-12 04:19:01,léquipe travaillant sur estime quil faudrait 4 générations pour atteindre sa forme idéale selon des problèmes tels que le poids lautonomie et des bugs dans visionos ont été soulevés par les utilisateurs actuels mark gurman indique que résoudre ces problèmes pourrait positionner le vision pro comme un remplaçant potentiel de lipad mais cela nécessitera des mises à niveau matérielles des mises à jour logicielles et un meilleur soutien des développeurs,léquipe travaillant sur estime quil faudrait 4 générations pour atteindre sa forme idéale selon des problèmes tels que le poids lautonomie et des bugs dans visionos ont été soulevés par les utilisateurs actuels mark gurman indique que résoudre ces problèmes pourrait positionner le vision pro comme un remplaçant potentiel de lipad mais cela nécessitera des mises à niveau matérielles des mises à jour logicielles et un meilleur soutien des développeurs,0.0,1.0
1759332283167707228,#AppleVisionPro is outstanding! True work of art. I just wish it was a little lighter,https://twitter.com/MacSrcs/status/1759332283167707228,tweet,Mac Sources,@MacSrcs,0,0,0,0,68,0,2024-02-18 13:41:17, is outstanding true work of art i just wish it was a little lighter, is outstanding true work of art i just wish it was a little lighter,0.2208333333333333,1.0
1766607651373281420,Why has Apple Vision Pro got businesspeople so intrigued? - Digital Journal https://t.co/8eZDNcmCMw #Apple #AppleVisionPro #VirtualReality,https://twitter.com/timsandle/status/1766607651373281420,tweet,Dr. Tim Sandle,@timsandle,0,0,0,4,142,0,2024-03-09 15:31:00,why has apple vision pro got businesspeople so intrigued digital journal ,why has apple vision pro got businesspeople so intrigued digital journal ,0.0,0.0
1767438038349783211,"@stufflistings That is very effective use of it but I think if 20% of the population starts using  such devices it will feel like that we are living in a cyborg-type society.
#Apple #AppleVisionPro",https://twitter.com/ALOKRANJANSWA16/status/1767438038349783211,tweet,aloKola,@ALOKRANJANSWA16,0,0,0,0,214,0,2024-03-11 23:30:40, that is very effective use of it but i think if 20 of the population starts using such devices it will feel like that we are living in a cyborgtype society , that is very effective use of it but i think if 20 of the population starts using such devices it will feel like that we are living in a cyborgtype society ,0.39,0.0
1758735453271011665,"If people from all over the world could gather in the Metaverse and watch #U2 live in real time, I would buy it.
#AppleVisionPro",https://twitter.com/apm57652565/status/1758735453271011665,tweet,hideyuki001.eth,@apm57652565,2,0,0,1,60,0,2024-02-16 22:09:42,if people from all over the world could gather in the metaverse and watch live in real time i would buy it ,if people from all over the world could gather in the metaverse and watch live in real time i would buy it ,0.1681818181818181,1.0
1760394309352710326,"Case in point: The vOICe sensory substitution web app for the totally blind needs pixel-level access to the live camera view to sound the visual content, but it does not store or transmit any images or video, so no privacy issues https://t.co/6VYVeS9uLK #AppleVisionPro #VisionPro",https://twitter.com/seeingwithsound/status/1760394309352710326,tweet,The vOICe vision 😎,@seeingwithsound,0,0,0,0,89,0,2024-02-21 12:01:24,case in point the voice sensory substitution web app for the totally blind needs pixellevel access to the live camera view to sound the visual content but it does not store or transmit any images or video so no privacy issues ,case in point the voice sensory substitution web app for the totally blind needs pixellevel access to the live camera view to sound the visual content but it does not store or transmit any images or video so no privacy issues ,0.009090909090909,1.0
1757380254832934970,ドシロートは相手にしていないのに #AppleVisionPro を腐す奴らが面白すぎるw,https://twitter.com/nextak/status/1757380254832934970,tweet,タンクン・ボーン,@nextak,0,0,0,0,24,0,2024-02-13 04:24:37,ドシロートは相手にしていないのに を腐す奴らが面白すぎるw,ドシロートは相手にしていないのに を腐す奴らが面白すぎるw,0.0,0.0
1764798246507917376,"Today -&gt; 
is the expected date at which Apple iPhone users will get iOS 17.4 update.

#apple #ios #iOS174 #iosbeta #ios17 #iPhone15 #iPhone15Pro #iPhone15ProMax #developers #ايفون #AppleVisionPro #visionpro #ios17update",https://twitter.com/AppleXfans/status/1764798246507917376,tweet,Apple Fans ,@AppleXfans,4,1,0,0,3238,0,2024-03-04 15:41:04,today gt is the expected date at which apple iphone users will get ios 174 update ,today gt is the expected date at which apple iphone users will get ios 174 update ,-0.1,0.0
1767914131997458765,"No son solo para entretenimiento, cirujanos del Cromwell Hospital de Londres usaron unas #AppleVisionPro para realizar una operación de columna. Usarón el visor para visualizar con AR el procedimiento y seleccionar las mejores herramientas. https://t.co/BKznbBPA2Z",https://twitter.com/jmatuk/status/1767914131997458765,tweet,Javier Matuk,@jmatuk,3,0,22,127,6208,2,2024-03-13 07:02:29,no son solo para entretenimiento cirujanos del cromwell hospital de londres usaron unas para realizar una operación de columna usarón el visor para visualizar con ar el procedimiento y seleccionar las mejores herramientas ,no son solo para entretenimiento cirujanos del cromwell hospital de londres usaron unas para realizar una operación de columna usarón el visor para visualizar con ar el procedimiento y seleccionar las mejores herramientas ,0.0,0.0
